  Base de dados BPS,,,,,,,,,,,,,,,,,,,,,
Dados do Item,,,,Dados da Compra,,,,,Dados do Fabricante Fornecedor,,,,Dados da Instituição,,,,Valores,,,,
Código BR,Descrição CATMAT, Unidade de Fornecimento ,Genérico,Registro Anvisa, Data Compra ,Modalidade da Compra, Data Inserção,Tipo Compra,Fabricante,CNPJ Fabricante,Fornecedor,CNPJ Fornecedor,Nome Instituição,CNPJ Instituição,Município Instituição,UF,Qtd Itens Comprados,Preço Unitário,CMED - Preço Regulado,Competência CMED, Média Ponderada 
BR0267674,"HIDROCLOROTIAZIDA, DOSAGEM:25 MG",COMPRIMIDO - GENÉRICO,Sim,1091700930018,11/10/2021,Pregão,22/11/2021,A,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA ,17.875.154/0001-20,LOGER DISTRIBUIDORA DE MEDICAMENTOS E MATERIAIS HOSPITALARES EIRELI ,27.600.270/0001-90,FUNDO MUNICIPAL DE SAUDE,11.594.727/0001-60,MAR VERMELHO,AL,"150000,0000","0,0003","0,1210",02/2022,"0,0411"
BR0268856,"LOSARTANA POTÁSSICA, DOSAGEM:50 MG",COMPRIMIDO - GENÉRICO,Sim,1058308280201,11/10/2021,Pregão,22/11/2021,A,GERMED FARMACÊUTICA LTDA,45.992.062/0001-65,MEDICAH COMERCIO DE MEDICAMENTOS EIRELI ,11.195.977/0001-28,FUNDO MUNICIPAL DE SAUDE,11.594.727/0001-60,MAR VERMELHO,AL,"220000,0000","0,0007","1,2690",02/2022,"0,0717"
BR0267647,"DIGOXINA, DOSAGEM:0,25 MG",COMPRIMIDO - GENÉRICO,Sim,1039201660017,11/10/2021,Pregão,22/11/2021,A,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA ,30.222.814/0001-31,VAL MED PRODUTOS E EQUIPAMENTOS MEDICOS HOSPITALAR LTDA ,05.980.425/0001-28,FUNDO MUNICIPAL DE SAUDE,11.594.727/0001-60,MAR VERMELHO,AL,"30000,0000","0,0009","0,3767",02/2022,"0,1071"
BR0267647,"DIGOXINA, DOSAGEM:0,25 MG",COMPRIMIDO,Não, Não Informado,28/04/2021,Pregão,05/07/2021,A,PHARLAB INDUSTRIA FARMACEUTICA S.A ,02.501.297/0002-85,DISTRIMED COMERCIO E REPRESENTACOES LTDA,08.516.958/0001-41,FUNDO MUNICIPAL DE SAUDE DE PALMEIRAIS - PI,11.348.184/0001-00,PALMEIRAIS,PI,"32500,0000","0,0021","0,0000",N/A,"0,1071"
BR0268856,"LOSARTANA POTÁSSICA, DOSAGEM:50 MG",COMPRIMIDO,Não,1542301770258,31/03/2021,Pregão,18/06/2021,A,GEOLAB INDUSTRIA FARMACÊUTICA LTDA,03.485.572/0001-04,MEDCOM SAUDE DENTALMEDICA COMERCIO E DISTRIBUIDORA DE MEDICAMENTOS E MATERIAIS HOSPITALARES LTDA,37.730.050/0001-34,FUNDO MUNICIPAL DE SAUDE,11.664.446/0001-37,PACAJA,PA,"120000,0000","0,0100","0,8319",02/2022,"0,0717"
BR0267674,"HIDROCLOROTIAZIDA, DOSAGEM:25 MG",COMPRIMIDO,Não,1438100650056,30/10/2020,Pregão,16/02/2021,A,CIMED INDUSTRIA DE MEDICAMENTOS LTDA ,02.814.497/0001-07,CIMED INDUSTRIA DE MEDICAMENTOS LTDA ,02.814.497/0007-00,MUNICIPIO DE DOURADOQUARA,18.158.261/0001-08,DOURADOQUARA,MG,"12000,0000","0,0140","0,2015",02/2022,"0,0411"
BR0267674,"HIDROCLOROTIAZIDA, DOSAGEM:25 MG",COMPRIMIDO,Não,1438100650021,24/08/2020,Pregão,19/11/2020,A,CIMED INDUSTRIA DE MEDICAMENTOS LTDA ,02.814.497/0001-07,COMERCIAL MARK ATACADISTA LTDA - ME,09.315.996/0001-07,MUNICIPIO DE FERNANDOPOLIS,47.842.836/0001-05,FERNANDOPOLIS,SP,"400000,0000","0,0150","0,2663",02/2022,"0,0411"
BR0267674,"HIDROCLOROTIAZIDA, DOSAGEM:25 MG",COMPRIMIDO,Não,1438102100053,15/09/2020,Pregão,26/01/2021,A,CIMED INDUSTRIA DE MEDICAMENTOS LTDA ,02.814.497/0001-07,CENTERMEDI - COMERCIO DE PRODUTOS HOSPITARES LTDA. ,03.652.030/0001-70,FUNDO MUNICIPAL DE SAUDE DE BASTOS,11.892.520/0001-72,BASTOS,SP,"5000,0000","0,0150","0,1560",02/2022,"0,0411"
BR0267674,"HIDROCLOROTIAZIDA, DOSAGEM:25 MG",COMPRIMIDO,Não, Não Informado,15/02/2021,Pregão,29/04/2021,A,CIMED INDUSTRIA DE MEDICAMENTOS LTDA,02.814.497/0003-79,INOVAMED COMERCIO DE MEDICAMENTOS LTDA - EPP ,12.889.035/0001-02,FUNDO MUNICIPAL SAUDE,11.265.919/0001-23,DIONISIO CERQUEIRA,SC,"50000,0000","0,0150","0,0000",N/A,"0,0411"
BR0267674,"HIDROCLOROTIAZIDA, DOSAGEM:25 MG",COMPRIMIDO - GENÉRICO,Sim,1091700930042,02/12/2020,Pregão,10/02/2021,A,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA ,17.875.154/0001-20,MEDILAR IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICO HOSPITALARES S/A,07.752.236/0004-76,CONSORCIO INTERMUNIC DE SAUDE DO MEDIO VALE DO ITAJAI,03.269.695/0001-08,BLUMENAU,SC,"4951000,0000","0,0153","0,1218",02/2022,"0,0411"
BR0267674,"HIDROCLOROTIAZIDA, DOSAGEM:25 MG",COMPRIMIDO,Não,1438100650056,29/10/2020,Pregão,16/12/2020,A,CIMED INDUSTRIA DE MEDICAMENTOS LTDA ,02.814.497/0001-07,INOVAMED COMERCIO DE MEDICAMENTOS LTDA - EPP ,12.889.035/0001-02,FUNDO MUNICIPAL DE SAUDE DE TOLEDO,08.885.072/0001-75,TOLEDO,PR,"400000,0000","0,0160","0,2015",02/2022,"0,0411"
BR0267674,"HIDROCLOROTIAZIDA, DOSAGEM:25 MG",COMPRIMIDO,Não,1438102100053,14/09/2020,Pregão,10/02/2021,A,CIMED INDUSTRIA DE MEDICAMENTOS LTDA ,02.814.497/0001-07,CENTERMEDI - COMERCIO DE PRODUTOS HOSPITARES LTDA. ,03.652.030/0001-70,MUNICIPIO DE JAGUARIUNA,46.410.866/0001-71,JAGUARIUNA,SP,"160000,0000","0,0160","0,1560",02/2022,"0,0411"
BR0267674,"HIDROCLOROTIAZIDA, DOSAGEM:25 MG",COMPRIMIDO,Não,1438102100053,08/09/2020,Pregão,23/10/2020,A,CIMED INDUSTRIA DE MEDICAMENTOS LTDA ,02.814.497/0001-07,CENTERMEDI - COMERCIO DE PRODUTOS HOSPITARES LTDA. ,03.652.030/0001-70,FUNDO MUNICIPAL DE SAUDE DE SAO JOAO DO TRIUNFO,09.285.785/0001-60,SAO JOAO DO TRIUNFO,PR,"20000,0000","0,0160","0,1560",02/2022,"0,0411"
BR0267674,"HIDROCLOROTIAZIDA, DOSAGEM:25 MG",COMPRIMIDO,Não,1438102100053,18/09/2020,Pregão,29/09/2020,A,CIMED INDUSTRIA DE MEDICAMENTOS LTDA ,02.814.497/0001-07,CENTERMEDI - COMERCIO DE PRODUTOS HOSPITARES LTDA. ,03.652.030/0001-70,MUNICIPIO DE PALOTINA,76.208.487/0001-64,PALOTINA,PR,"450000,0000","0,0160","0,1560",02/2022,"0,0411"
BR0267674,"HIDROCLOROTIAZIDA, DOSAGEM:25 MG",COMPRIMIDO - GENÉRICO,Sim,1438102100053,27/10/2020,Pregão,08/02/2021,A,CIMED INDUSTRIA DE MEDICAMENTOS LTDA ,02.814.497/0001-07,INOVAMED COMERCIO DE MEDICAMENTOS LTDA - EPP ,12.889.035/0001-02,MUNICIPIO DE SANTA GERTRUDES,45.732.377/0001-73,SANTA GERTRUDES,SP,"360000,0000","0,0170","0,1560",02/2022,"0,0411"
BR0267674,"HIDROCLOROTIAZIDA, DOSAGEM:25 MG",COMPRIMIDO,Não, Não Informado,06/11/2020,Pregão,20/11/2020,A,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA.,02.814.497/0002-98,INOVAMED COMERCIO DE MEDICAMENTOS LTDA - EPP ,12.889.035/0001-02,CONSORCIO INTERMUNICIPAL DO OESTE PAULISTA,18.960.233/0001-00,PRESIDENTE PRUDENTE,SP,"529000,0000","0,0170","0,0000",N/A,"0,0411"
BR0267674,"HIDROCLOROTIAZIDA, DOSAGEM:25 MG",COMPRIMIDO,Não,1438102100029,04/12/2020,Pregão,04/02/2021,A,CIMED INDUSTRIA DE MEDICAMENTOS LTDA ,02.814.497/0001-07,INOVAMED COMERCIO DE MEDICAMENTOS LTDA - EPP ,12.889.035/0001-02,MUNICIPIO DE PIEN,76.002.666/0001-40,PIEN,PR,"500000,0000","0,0170","0,1240",02/2022,"0,0411"
BR0267674,"HIDROCLOROTIAZIDA, DOSAGEM:25 MG",COMPRIMIDO,Não,1438102100053,30/11/2020,Pregão,10/12/2020,A,CIMED INDUSTRIA DE MEDICAMENTOS LTDA ,02.814.497/0001-07,INOVAMED COMERCIO DE MEDICAMENTOS LTDA - EPP ,12.889.035/0001-02,MUNICIPIO DE CORNELIO PROCOPIO,76.331.941/0001-70,CORNELIO PROCOPIO,PR,"80000,0000","0,0170","0,1560",02/2022,"0,0411"
BR0267674,"HIDROCLOROTIAZIDA, DOSAGEM:25 MG",COMPRIMIDO - GENÉRICO,Sim,1438102100053,29/10/2020,Pregão,10/12/2020,A,CIMED INDUSTRIA DE MEDICAMENTOS LTDA ,02.814.497/0001-07,INOVAMED COMERCIO DE MEDICAMENTOS LTDA - EPP ,12.889.035/0001-02,MUNICIPIO DE PEDERNEIRAS,46.189.718/0001-79,PEDERNEIRAS,SP,"600000,0000","0,0170","0,1560",02/2022,"0,0411"
BR0267674,"HIDROCLOROTIAZIDA, DOSAGEM:25 MG",COMPRIMIDO - GENÉRICO,Sim,1091700930018,23/09/2020,Pregão,17/11/2020,A,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA ,17.875.154/0001-20,SOMA/SP PRODUTOS HOSPITALARES LTDA ,05.847.630/0001-10,MUNICIPIO DE TAMBAU,46.373.445/0001-18,TAMBAU,SP,"150000,0000","0,0170","0,1223",02/2022,"0,0411"
BR0267674,"HIDROCLOROTIAZIDA, DOSAGEM:25 MG",COMPRIMIDO - GENÉRICO,Sim,1091700930042,25/01/2021,Pregão,12/03/2021,A,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA ,17.875.154/0001-20,MEDILAR IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICO HOSPITALARES LTDA,07.752.236/0001-23,CONSORCIO INTERMUNICIPAL DE SAUDE DA REGIAO DO CONTESTADO,03.887.256/0001-50,CANOINHAS,SC,"1198000,0000","0,0174","0,1218",02/2022,"0,0411"
