  Base de dados BPS,,,,,,,,,,,,,,,,,,,,,
Dados do Item,,,,Dados da Compra,,,,,Dados do Fabricante Fornecedor,,,,Dados da Instituição,,,,Valores,,,,
Código BR,Descrição CATMAT, Unidade de Fornecimento ,Genérico,Registro Anvisa, Data Compra ,Modalidade da Compra, Data Inserção,Tipo Compra,Fabricante,CNPJ Fabricante,Fornecedor,CNPJ Fornecedor,Nome Instituição,CNPJ Instituição,Município Instituição,UF,Qtd Itens Comprados,Preço Unitário,CMED - Preço Regulado,Competência CMED, Média Ponderada 
BR0270436,"METOTREXATO, DOSAGEM:2,5 MG",COMPRIMIDO,Não,1163700330062,06/11/2020,Pregão,30/06/2021,A,BLAUSIEGEL INDÚSTRIA E COMÉRCIO LTDA,58.430.828/0001-60,GERMED FARMACÊUTICA LTDA,45.992.062/0001-65,SECRETARIA DE ESTADO DA SAUDE,46.374.500/0262-31,SAO PAULO,SP,"378140,0000","0,5800","0,6400",02/2022,"0,8842"
BR0272023,"TAMOXIFENO CITRATO, DOSAGEM:20 MG",COMPRIMIDO,Não,1163700270035,09/04/2021,Pregão,20/07/2021,A,BLAUSIEGEL INDÚSTRIA E COMÉRCIO LTDA,58.430.828/0001-60,"PRATI, DONADUZZI & CIA LTDA ",73.856.593/0011-38,SECRETARIA DE ESTADO DA SAUDE,46.374.500/0262-31,SAO PAULO,SP,"1504156,0000","0,6100","7,7523",02/2022,"0,6120"
BR0272023,"TAMOXIFENO CITRATO, DOSAGEM:20 MG",COMPRIMIDO,Não,1163700270035,09/04/2021,Pregão,20/07/2021,A,BLAUSIEGEL INDÚSTRIA E COMÉRCIO LTDA,58.430.828/0001-60,BLAUSIEGEL INDÚSTRIA E COMÉRCIO LTDA,58.430.828/0001-60,SECRETARIA DE ESTADO DA SAUDE,46.374.500/0262-31,SAO PAULO,SP,"1504156,0000","0,6100","7,7523",02/2022,"0,6120"
BR0272023,"TAMOXIFENO CITRATO, DOSAGEM:20 MG",COMPRIMIDO - GENÉRICO,Sim,1004702800031,05/07/2021,Pregão,14/09/2021,A,SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA. ,61.286.647/0001-16,MEDILAR IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICO HOSPITALARES LTDA,07.752.236/0001-23,CONSORCIO INTERMUNICIPAL DE SAUDE DO VALE DO RIO TAQUARI - CONSISA -VRT,07.242.772/0001-89,LAJEADO,RS,"5000,0000","0,6210","4,0650",02/2022,"0,6120"
BR0272023,"TAMOXIFENO CITRATO, DOSAGEM:20 MG",COMPRIMIDO - GENÉRICO,Sim,1163701300035,07/05/2021,Pregão,19/08/2021,A,BLAUSIEGEL INDÚSTRIA E COMÉRCIO LTDA,58.430.828/0001-60,INOVAMED COMERCIO DE MEDICAMENTOS LTDA - EPP ,12.889.035/0001-02,CONSORCIO INTERMUNICIPAL CATARINENSE-CIMCATARINA,12.075.748/0001-32,FLORIANOPOLIS,SC,"15825,0000","0,6850","5,3390",02/2022,"0,6120"
BR0270436,"METOTREXATO, DOSAGEM:2,5 MG",COMPRIMIDO,Não,1163700330062,07/10/2020,Pregão,24/11/2020,A,BLAUSIEGEL INDÚSTRIA E COMÉRCIO LTDA,58.430.828/0001-60,ILG COMERCIAL LTDA - ME ,20.657.155/0001-02,CONSORCIO INTERMUNICIPAL DE SAUDE DO VALE DO RIO TAQUARI - CONSISA -VRT,07.242.772/0001-89,LAJEADO,RS,"57300,0000","0,7600","0,6400",02/2022,"0,8842"
BR0272023,"TAMOXIFENO CITRATO, DOSAGEM:20 MG",COMPRIMIDO,Não, Não Informado,10/06/2021,Pregão,13/09/2021,J,EMS S/A,57.507.378/0006-08,FUTURA COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES LTDA - EPP ,08.231.734/0001-93,MUNICIPIO DE JABOTICABAL,50.387.844/0001-05,JABOTICABAL,SP,"4320,0000","0,7800","0,0000",N/A,"1,1829"
BR0270436,"METOTREXATO, DOSAGEM:2,5 MG",COMPRIMIDO,Não, Não Informado,09/06/2021,Pregão,05/07/2021,A,BLAU FARMACEUTICA S.A.,58.430.828/0005-93,INOVAMED COMERCIO DE MEDICAMENTOS LTDA - EPP ,12.889.035/0001-02,MUNICIPIO DE JAGUARIUNA,46.410.866/0001-71,JAGUARIUNA,SP,"7200,0000","0,8100","0,0000",N/A,"0,8842"
BR0270436,"METOTREXATO, DOSAGEM:2,5 MG",COMPRIMIDO,Não,1163700330062,28/04/2021,Pregão,26/07/2021,J,BLAU FARMACEUTICA S.A. ,58.430.828/0013-01,GRAMS & GRAMS LTDA. - ME ,10.448.145/0001-03,MUNICIPIO DE JAGUARAO,88.414.552/0001-97,JAGUARAO,RS,"400,0000","0,8500","0,0000",N/A,"0,8500"
BR0270436,"METOTREXATO, DOSAGEM:2,5 MG",COMPRIMIDO,Não,1163700330062,05/07/2021,Pregão,14/09/2021,A,BLAUSIEGEL INDÚSTRIA E COMÉRCIO LTDA,58.430.828/0001-60,ALTERMED MATERIAL MEDICO HOSPITALAR LTDA ,00.802.002/0001-02,CONSORCIO INTERMUNICIPAL DE SAUDE DO VALE DO RIO TAQUARI - CONSISA -VRT,07.242.772/0001-89,LAJEADO,RS,"69300,0000","0,9880","0,6400",02/2022,"0,8842"
