  Base de dados BPS,,,,,,,,,,,,,,,,,,,,,
Dados do Item,,,,Dados da Compra,,,,,Dados do Fabricante Fornecedor,,,,Dados da Instituição,,,,Valores,,,,
Código BR,Descrição CATMAT, Unidade de Fornecimento ,Genérico,Registro Anvisa, Data Compra ,Modalidade da Compra, Data Inserção,Tipo Compra,Fabricante,CNPJ Fabricante,Fornecedor,CNPJ Fornecedor,Nome Instituição,CNPJ Instituição,Município Instituição,UF,Qtd Itens Comprados,Preço Unitário,CMED - Preço Regulado,Competência CMED, Média Ponderada 
BR0272793,"FLUDROCORTISONA ACETATO, DOSAGEM:0,1 MG",COMPRIMIDO,Não,1376401600011,10/05/2021,Pregão,20/07/2021,J,ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA,02.433.631/0001-20,MEDILAR IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICO HOSPITALARES LTDA,07.752.236/0001-23,SECRETARIA DA SAUDE,87.958.625/0001-49,PORTO ALEGRE,RS,"420000,0000","0,4500","1,5816",02/2022,"1,6103"
BR0272793,"FLUDROCORTISONA ACETATO, DOSAGEM:0,1 MG",COMPRIMIDO,Não,1376401600011,09/03/2021,Pregão,16/09/2021,A,ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA,02.433.631/0001-20,MEDCOM COMERCIO DE MEDICAMENTOS HOSPITALARES LTDA,25.211.499/0001-07,SECRETARIA DE ESTADO DA SAUDE,02.529.964/0001-57,GOIANIA,GO,"45000,0000","1,4600","1,5816",02/2022,"1,5803"
BR0272793,"FLUDROCORTISONA ACETATO, DOSAGEM:0,1 MG",COMPRIMIDO,Não, Não Informado,10/11/2020,Pregão,04/12/2020,A,BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA.,56.998.982/0031-22,DROGARIA CRISOSTIMO LTDA,17.523.381/0001-96,MUNICIPIO DE ITAPERUCU,95.422.846/0001-26,ITAPERUCU,PR,"300,0000","1,4600","0,0000",N/A,"1,5803"
BR0272793,"FLUDROCORTISONA ACETATO, DOSAGEM:0,1 MG",COMPRIMIDO,Não,1376401600011,27/09/2021,Dispensa de Licitação,07/10/2021,A,ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA,02.433.631/0001-20,ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA,02.433.631/0001-20,SECRETARIA DE ESTADO DA SAUDE,76.416.866/0001-40,CURITIBA,PR,"60000,0000","1,5800","1,5816",02/2022,"1,5803"
BR0272793,"FLUDROCORTISONA ACETATO, DOSAGEM:0,1 MG",COMPRIMIDO,Não,1376401600011,08/07/2021,Pregão,06/08/2021,J,ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA,02.433.631/0001-20,ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA,02.433.631/0001-20,FUNDO ESTADUAL DE SAUDE DO PARANA - FUNSAUDE,08.597.121/0001-74,CURITIBA,PR,"2700,0000","1,5800","1,5816",02/2022,"1,6103"
BR0272793,"FLUDROCORTISONA ACETATO, DOSAGEM:0,1 MG",COMPRIMIDO,Não,1376401600011,16/09/2021,Pregão,04/10/2021,A,ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA,02.433.631/0001-20,ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA,02.433.631/0001-20,FUNDO ESTADUAL DE SAUDE DO PARANA - FUNSAUDE,08.597.121/0001-74,CURITIBA,PR,"190000,0000","1,5800","1,5816",02/2022,"1,5803"
BR0272793,"FLUDROCORTISONA ACETATO, DOSAGEM:0,1 MG",COMPRIMIDO,Não,1376401600011,10/08/2021,Pregão,19/11/2021,A,ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA,02.433.631/0001-20,NSA DISTRIBUIDORA DE MEDICAMENTOS EIRELI,34.729.047/0001-02,SECRETARIA DE ESTADO DA SAUDE,27.080.605/0001-96,VITORIA,ES,"16300,0000","1,5816","1,5816",02/2022,"1,5803"
BR0272793,"FLUDROCORTISONA ACETATO, DOSAGEM:0,1 MG",COMPRIMIDO,Não,1376401600011,10/08/2021,Pregão,26/11/2021,A,ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA,02.433.631/0001-20,NSA DISTRIBUIDORA DE MEDICAMENTOS EIRELI,34.729.047/0001-02,SECRETARIA DE ESTADO DA SAUDE,27.080.605/0001-96,VITORIA,ES,"16300,0000","1,5816","1,5816",02/2022,"1,5803"
BR0272793,"FLUDROCORTISONA ACETATO, DOSAGEM:0,1 MG",COMPRIMIDO,Não,1376401600011,18/10/2021,Pregão,09/11/2021,A,ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA,02.433.631/0001-20,STOCK MED PRODUTOS MEDICO-HOSPITALARES LTDA.,06.106.005/0001-80,CONSORCIO INTERMUNICIPAL CATARINENSE-CIMCATARINA,12.075.748/0001-32,FLORIANOPOLIS,SC,"25620,0000","1,5816","1,5816",02/2022,"1,5803"
BR0272793,"FLUDROCORTISONA ACETATO, DOSAGEM:0,1 MG",COMPRIMIDO,Não,1376401600011,06/04/2021,Pregão,20/08/2021,J,ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA,02.433.631/0001-20,MEDILAR IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICO HOSPITALARES LTDA,07.752.236/0001-23,SECRETARIA DA SAUDE,87.958.625/0001-49,PORTO ALEGRE,RS,"240000,0000","1,6106","1,5816",02/2022,"1,6103"
