  Base de dados BPS,,,,,,,,,,,,,,,,,,,,,
Dados do Item,,,,Dados da Compra,,,,,Dados do Fabricante Fornecedor,,,,Dados da Instituição,,,,Valores,,,,
Código BR,Descrição CATMAT, Unidade de Fornecimento ,Genérico,Registro Anvisa, Data Compra ,Modalidade da Compra, Data Inserção,Tipo Compra,Fabricante,CNPJ Fabricante,Fornecedor,CNPJ Fornecedor,Nome Instituição,CNPJ Instituição,Município Instituição,UF,Qtd Itens Comprados,Preço Unitário,CMED - Preço Regulado,Competência CMED, Média Ponderada 
BR0267671,"GLIBENCLAMIDA, DOSAGEM:5 MG",COMPRIMIDO,Não,1091700640011,11/10/2021,Pregão,22/11/2021,A,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA ,17.875.154/0001-20,GLORIA FARMA DISTRIBUIDORA LTDA - ME ,10.436.883/0001-30,FUNDO MUNICIPAL DE SAUDE,11.594.727/0001-60,MAR VERMELHO,AL,"80000,0000","0,0003","0,2073",02/2022,"0,0286"
BR0267671,"GLIBENCLAMIDA, DOSAGEM:5 MG",COMPRIMIDO,Não,1091700640011,26/02/2021,Pregão,03/03/2021,A,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA ,17.875.154/0001-20,PROMEFARMA REPRESENTAÇÕES COMERCIAIS LTDA,81.706.251/0001-98,FUNDO MUNICIPAL DE SAUDE DE DOIS VIZINHOS,08.889.455/0001-11,DOIS VIZINHOS,PR,"10000,0000","0,0180","0,2073",02/2022,"0,0286"
BR0267671,"GLIBENCLAMIDA, DOSAGEM:5 MG",COMPRIMIDO,Não, Não Informado,26/01/2022,Pregão,14/02/2022,A,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA. ,17.875.154/0003-91,PROMEFARMA REPRESENTAÇÕES COMERCIAIS LTDA,81.706.251/0001-98,FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE GOIOERE,09.298.629/0001-34,GOIOERE,PR,"1000,0000","0,0200","0,0000",N/A,"0,0286"
BR0267671,"GLIBENCLAMIDA, DOSAGEM:5 MG",COMPRIMIDO,Não,1542300430011,06/02/2021,Pregão,06/07/2021,A,GEOLAB INDUSTRIA FARMACÊUTICA LTDA,03.485.572/0001-04,DROGAMIX DISTRIBUIDORA DE MEDICAMENTOS EIRELI,31.368.706/0001-34,FUNDO MUNICIPAL DE SAUDE,08.851.627/0001-68,BELEM DE MARIA,PE,"42000,0000","0,0200","0,2203",02/2022,"0,0286"
BR0267671,"GLIBENCLAMIDA, DOSAGEM:5 MG",COMPRIMIDO,Não, Não Informado,19/07/2021,Pregão,10/08/2021,A,EMS S/A,57.507.378/0006-08,IMPERIO MEDICAMENTOS E MATERIAL HOSPITALARES LTDA,36.846.568/0001-75,MUNICIPIO DE ARRAIAL - SECRETARIA DE SAUDE E SANEAMENTO,02.545.932/0001-45,ARRAIAL,PI,"50000,0000","0,0200","0,0000",N/A,"0,0286"
BR0267671,"GLIBENCLAMIDA, DOSAGEM:5 MG",COMPRIMIDO,Não,1091700640011,20/10/2020,Pregão,27/05/2021,A,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA ,17.875.154/0001-20,DIMASTER - COMERCIO DE PRODUTOS HOSPITALARES LTDA,02.520.829/0001-40,FUNDO MUNICIPAL DE SAUDE DE MIRANTE DA SERRA,06.016.618/0001-26,MIRANTE DA SERRA,RO,"7000,0000","0,0200","0,2073",02/2022,"0,0286"
BR0267671,"GLIBENCLAMIDA, DOSAGEM:5 MG",COMPRIMIDO,Não, Não Informado,13/12/2021,Pregão,21/01/2022,A,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA. ,17.875.154/0003-91,ALTERMED MATERIAL MEDICO HOSPITALAR LTDA ,00.802.002/0001-02,CONSORCIO INTERMUNICIPAL DO OESTE PAULISTA,18.960.233/0001-00,PRESIDENTE PRUDENTE,SP,"343500,0000","0,0200","0,0000",N/A,"0,0286"
BR0267671,"GLIBENCLAMIDA, DOSAGEM:5 MG",COMPRIMIDO,Não, Não Informado,24/09/2020,Pregão,26/05/2021,A,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA. ,17.875.154/0003-91,WERBRAN DISTRIBUIDORA DE MEDICAMENTOS LTDA,04.372.020/0001-44,FUNDO  MUNICIPAL  DE  SAUDE DE  MARABA,18.478.187/0001-07,MARABA,PA,"525000,0000","0,0200","0,0000",N/A,"0,0286"
BR0267671,"GLIBENCLAMIDA, DOSAGEM:5 MG",COMPRIMIDO,Não,1091700640028,09/10/2020,Pregão,18/03/2021,A,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA ,17.875.154/0001-20,RS - PRODUTOS HOSPITALARES LTDA ,06.294.126/0001-00,MUNICIPIO DE ESTEIO,88.150.495/0001-86,ESTEIO,RS,"162000,0000","0,0210","0,2081",02/2022,"0,0286"
BR0267671,"GLIBENCLAMIDA, DOSAGEM:5 MG",COMPRIMIDO,Não,1091700640028,07/10/2020,Pregão,24/11/2020,A,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA ,17.875.154/0001-20,RS - PRODUTOS HOSPITALARES LTDA ,06.294.126/0001-00,CONSORCIO INTERMUNICIPAL DE SAUDE DO VALE DO RIO TAQUARI - CONSISA -VRT,07.242.772/0001-89,LAJEADO,RS,"2276000,0000","0,0210","0,2081",02/2022,"0,0286"
