  Base de dados BPS,,,,,,,,,,,,,,,,,,,,,
Dados do Item,,,,Dados da Compra,,,,,Dados do Fabricante Fornecedor,,,,Dados da Instituição,,,,Valores,,,,
Código BR,Descrição CATMAT, Unidade de Fornecimento ,Genérico,Registro Anvisa, Data Compra ,Modalidade da Compra, Data Inserção,Tipo Compra,Fabricante,CNPJ Fabricante,Fornecedor,CNPJ Fornecedor,Nome Instituição,CNPJ Instituição,Município Instituição,UF,Qtd Itens Comprados,Preço Unitário,CMED - Preço Regulado,Competência CMED, Média Ponderada 
BR0433454,"ACESSÓRIO BOMBA INSULINA, TIPO ACESSÓRIO:CÂNULA INFUSÃO CERCA 13 MM, MATERIAL:POLÍMERO, COMPONENTE:C/ AGULHA INTRODUTORA",UNIDADE,Não, Não Informado,08/10/2020,Tomada de Preços,25/11/2020,A,FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA ,06.628.333/0001-46,ALMED ALDENIO DISTRIBUIDORA DE MEDICAMENTOS E MATERIAL MEDICO - HOSPITALAR LTDA - ME ,22.889.282/0001-62,FUNDO MUNICIPAL DE SAUDE DE SAO JOSE DE CAIANA,10.785.644/0001-96,SAO JOSE DE CAIANA,PB,"5000,0000","0,0800","0,0000",N/A,"0,0800"
BR0295269,"NUTRIÇÃO PARENTERAL, COMPOSIÇÃO:SOL. AMINOÁCIDOS S/ GLUTAMINA, C/EMULSÃO LIPÍDICA, COMPONENTES:PODENDO OU NÃO TER ADIÇÃO DE: ÍONS CA,NA,K,CL,P,MG, OUTROS COMPONENTES:OLIGOELEMENTOS, VITAMINAS, HEPARINA E INSULINA, CONCENTRAÇÃO:COMPONENTES EM CONCENTR",MILILITRO,Não,1004199380099,21/05/2021,Pregão,08/06/2021,A,FRESENIUS KABI BRASIL LTDA.,49.324.221/0008-80,FRESENIUS KABI BRASIL LTDA.,49.324.221/0001-04,FUNDACAO ESTATAL DE ATENCAO ESPECIALIZADA EM SAUDE DE CURITIBA (FEAES - CURITIBA),14.814.139/0001-83,CURITIBA,PR,"350000,0000","0,1200","0,0000",N/A,"0,1334"
BR0295269,"NUTRIÇÃO PARENTERAL, COMPOSIÇÃO:SOL. AMINOÁCIDOS S/ GLUTAMINA, C/EMULSÃO LIPÍDICA, COMPONENTES:PODENDO OU NÃO TER ADIÇÃO DE: ÍONS CA,NA,K,CL,P,MG, OUTROS COMPONENTES:OLIGOELEMENTOS, VITAMINAS, HEPARINA E INSULINA, CONCENTRAÇÃO:COMPONENTES EM CONCENTR",MILILITRO,Não,1008501240080,21/05/2021,Pregão,08/06/2021,A,LABORATORIOS B BRAUN SA ,31.673.254/0001-02,LABORATORIOS B BRAUN SA ,31.673.254/0010-95,FUNDACAO ESTATAL DE ATENCAO ESPECIALIZADA EM SAUDE DE CURITIBA (FEAES - CURITIBA),14.814.139/0001-83,CURITIBA,PR,"700000,0000","0,1401","0,0000",N/A,"0,1334"
BR0350542,"CANETA, APLICADORA DE INSULINA",UNIDADE,Não, Não Informado,14/10/2021,Pregão,19/10/2021,A, UNIQUE DISTRIBUIDORA DE MEDICAMENTOS EIRELI ,23.864.942/0001-13,SG TECNOLOGIA CLINICA S.A.,61.485.900/0001-60,SECRETARIA DE SAUDE,10.572.048/0001-28,RECIFE,PE,"736344,0000","0,2100","0,0000",N/A,"0,2112"
BR0350542,"CANETA, APLICADORA DE INSULINA",UNIDADE,Não, Não Informado,22/09/2020,Pregão,25/11/2020,A,JOAOMED COMERCIO DE MATERIAIS CIRURGICOS LTDA ,78.742.491/0001-33,MEDICAL COMERCIO DE COSMETICOS LTDA.,30.511.964/0001-65,FUNDO MUNICIPAL DE SAUDE,21.817.418/0001-66,URUPA,RO,"6000,0000","0,3551","0,0000",N/A,"0,2112"
BR0440255,"INSULINA, TIPO:ANÁLOGA DE AÇÃO RÁPIDA, CONCENTRAÇÃO:100 UI/ML, FORMA FARMACEUTICA:SOLUÇÃO INJETÁVEL, ADICIONAIS:C/ SISTEMA DE APLICAÇÃO","TUBETE 3,00 ML",Não,1057304050139,20/11/2020,Pregão,30/06/2021,A,ACHE LABORATORIOS FARMACEUTICOS SA,60.659.463/0029-92,"DUPATRI HOSPITALAR COMERCIO, IMPORTACAO E EXPORTACAO LTDA.",04.027.894/0007-50,SECRETARIA DE ESTADO DA SAUDE,46.374.500/0262-31,SAO PAULO,SP,"175090,0000","0,4300","0,0000",N/A,"3,2314"
BR0433452,"ACESSÓRIO BOMBA INSULINA, TIPO ACESSÓRIO:CÂNULA INFUSÃO CERCA 8 MM, MATERIAL:POLÍMERO, COMPONENTE:C/ AGULHA INTRODUTORA",UNIDADE,Não,10033430456,03/02/2021,Pregão,09/08/2021,J,BIO PHARMUS LTDA,03.968.966/0001-05,ALESSANDRO REZENDE SANTOS & CIA LTDA,09.412.526/0001-53,MUNICIPIO DE PIUMHI,16.781.346/0001-04,PIUMHI,MG,"18720,0000","1,0900","0,0000",N/A,"1,8588"
BR0433445,"ACESSÓRIO BOMBA INSULINA, TIPO ACESSÓRIO:RESERVATÓRIO, MATERIAL:POLIPROPILENO TRANSPARENTE, COMPONENTE:TIPO SERINGA CERCA 3 ML",UNIDADE,Não, Não Informado,03/09/2020,Pregão,28/04/2021,A,ALTERMED MATERIAL MEDICO HOSPITALAR LTDA ,00.802.002/0001-02,ALTERMED MATERIAL MEDICO HOSPITALAR LTDA ,00.802.002/0001-02,MUNICIPIO DE IMBE,90.256.652/0001-84,IMBE,RS,"120000,0000","1,2700","0,0000",N/A,"1,3628"
BR0437811,"ACESSÓRIO BOMBA INSULINA, TIPO ACESSÓRIO:DISPOSITIVO ARMAZENAMENTO E DISTRIBUIÇÃO DE DADOS, COMPONENTE:CONECTOR USB",UNIDADE,Não,1127800550089,08/03/2021,Pregão,06/10/2021,A,PHARLAB INDUSTRIA FARMACEUTICA S.A ,02.501.297/0002-85,AVAREMED DISTRIBUIDORA DE MEDICAMENTOS EIRELI - EPP,11.195.057/0001-00,MUNICIPIO DE LUCIANOPOLIS,44.518.504/0001-73,LUCIANOPOLIS,SP,"1800,0000","1,2900","0,0000",N/A,"1,2900"
BR0433445,"ACESSÓRIO BOMBA INSULINA, TIPO ACESSÓRIO:RESERVATÓRIO, MATERIAL:POLIPROPILENO TRANSPARENTE, COMPONENTE:TIPO SERINGA CERCA 3 ML",UNIDADE,Não, Não Informado,28/07/2021,Pregão,06/12/2021,A,DESCARPACK DESCARTAVEIS DO BRASIL LTDA ,01.057.428/0002-14,DENTAL RONDONIA COMERCIO DE PRODUTOS PARA SAUDE LTDA,32.053.182/0001-55,MUNICIPIO DE JARU,04.279.238/0001-59,JARU,RO,"500,0000","1,4000","0,0000",N/A,"1,3628"
