  Base de dados BPS,,,,,,,,,,,,,,,,,,,,,
Dados do Item,,,,Dados da Compra,,,,,Dados do Fabricante Fornecedor,,,,Dados da Instituição,,,,Valores,,,,
Código BR,Descrição CATMAT, Unidade de Fornecimento ,Genérico,Registro Anvisa, Data Compra ,Modalidade da Compra, Data Inserção,Tipo Compra,Fabricante,CNPJ Fabricante,Fornecedor,CNPJ Fornecedor,Nome Instituição,CNPJ Instituição,Município Instituição,UF,Qtd Itens Comprados,Preço Unitário,CMED - Preço Regulado,Competência CMED, Média Ponderada 
BR0268125,"LEVOTIROXINA SÓDICA, DOSAGEM:100 MCG",COMPRIMIDO - GENÉRICO,Sim,1008903920108,11/10/2021,Pregão,22/11/2021,A,MERCK S/A ,33.069.212/0001-84,MEDICAH COMERCIO DE MEDICAMENTOS EIRELI ,11.195.977/0001-28,FUNDO MUNICIPAL DE SAUDE,11.594.727/0001-60,MAR VERMELHO,AL,"1000,0000","0,0020","0,1777",02/2022,"0,0742"
BR0268123,"LEVOTIROXINA SÓDICA, DOSAGEM:50 MCG",COMPRIMIDO - GENÉRICO,Sim,1008903920043,11/10/2021,Pregão,22/11/2021,A,MERCK S/A ,33.069.212/0001-84,MEDICAH COMERCIO DE MEDICAMENTOS EIRELI ,11.195.977/0001-28,FUNDO MUNICIPAL DE SAUDE,11.594.727/0001-60,MAR VERMELHO,AL,"1000,0000","0,0021","0,2083",02/2022,"0,0749"
BR0268124,"LEVOTIROXINA SÓDICA, DOSAGEM:25 MCG",COMPRIMIDO,Não,1008902020618,12/07/2021,Pregão,06/08/2021,A,MERCK S/A ,33.069.212/0001-84,ELFA MEDICAMENTOS LTDA,09.053.134/0001-45,MUNICIPIO DE GUAXUPE,18.663.401/0001-97,GUAXUPE,MG,"39000,0000","0,0390","0,3646",02/2022,"0,0638"
BR0268124,"LEVOTIROXINA SÓDICA, DOSAGEM:25 MCG",COMPRIMIDO,Não,1832603530014,20/07/2021,Tomada de Preços,01/09/2021,A,SANOFI MEDLEY FARMACEUTICA LTDA,10.588.595/0010-92,ELFA MEDICAMENTOS LTDA,09.053.134/0001-45,MUNICIPIO DE DOURADOQUARA,18.158.261/0001-08,DOURADOQUARA,MG,"990,0000","0,0390","0,2903",02/2022,"0,0638"
BR0268124,"LEVOTIROXINA SÓDICA, DOSAGEM:25 MCG",COMPRIMIDO,Não,1008902020618,08/10/2021,Pregão,14/12/2021,A,MERCK S/A ,33.069.212/0001-84,ELFA MEDICAMENTOS LTDA,09.053.134/0001-45,MUNICIPIO DE GUAXUPE,18.663.401/0001-97,GUAXUPE,MG,"54000,0000","0,0390","0,3646",02/2022,"0,0638"
BR0268124,"LEVOTIROXINA SÓDICA, DOSAGEM:25 MCG",COMPRIMIDO,Não,1832603530014,15/12/2021,Tomada de Preços,23/02/2022,A,SANOFI MEDLEY FARMACEUTICA LTDA,10.588.595/0010-92,BIOHOSP PRODUTOS HOSPITALARES LTDA - EPP ,18.269.125/0001-87,MUNICIPIO DE DOURADOQUARA,18.158.261/0001-08,DOURADOQUARA,MG,"2100,0000","0,0390","0,2903",02/2022,"0,0638"
BR0268123,"LEVOTIROXINA SÓDICA, DOSAGEM:50 MCG",COMPRIMIDO,Não,1832603530022,20/07/2021,Tomada de Preços,01/09/2021,A,SANOFI MEDLEY FARMACEUTICA LTDA,10.588.595/0010-92,ELFA MEDICAMENTOS LTDA,09.053.134/0001-45,MUNICIPIO DE DOURADOQUARA,18.158.261/0001-08,DOURADOQUARA,MG,"3000,0000","0,0390","0,3210",02/2022,"0,0749"
BR0268124,"LEVOTIROXINA SÓDICA, DOSAGEM:25 MCG",COMPRIMIDO,Não,1832603530014,19/11/2020,Pregão,21/01/2021,A,SANOFI MEDLEY FARMACEUTICA LTDA,10.588.595/0010-92,ELFA MEDICAMENTOS LTDA,09.053.134/0001-45,MUNICIPIO DE DOURADOQUARA,18.158.261/0001-08,DOURADOQUARA,MG,"1800,0000","0,0390","0,2903",02/2022,"0,0638"
BR0268124,"LEVOTIROXINA SÓDICA, DOSAGEM:25 MCG",COMPRIMIDO,Não,1008902020618,12/04/2021,Pregão,22/07/2021,A,MERCK S/A ,33.069.212/0001-84,ELFA MEDICAMENTOS LTDA,09.053.134/0001-45,MUNICIPIO DE GUAXUPE,18.663.401/0001-97,GUAXUPE,MG,"27000,0000","0,0390","0,3646",02/2022,"0,0638"
BR0268124,"LEVOTIROXINA SÓDICA, DOSAGEM:25 MCG",COMPRIMIDO,Não,1008902020618,08/02/2021,Pregão,01/03/2021,A,MERCK S/A ,33.069.212/0001-84,ELFA MEDICAMENTOS LTDA,09.053.134/0001-45,MUNICIPIO DE GUAXUPE,18.663.401/0001-97,GUAXUPE,MG,"39000,0000","0,0390","0,3646",02/2022,"0,0638"
BR0268124,"LEVOTIROXINA SÓDICA, DOSAGEM:25 MCG",COMPRIMIDO,Não,1832603530014,16/02/2021,Pregão,30/03/2021,A,SANOFI MEDLEY FARMACEUTICA LTDA,10.588.595/0010-92,ELFA MEDICAMENTOS LTDA,09.053.134/0001-45,MUNICIPIO DE DOURADOQUARA,18.158.261/0001-08,DOURADOQUARA,MG,"3000,0000","0,0390","0,2903",02/2022,"0,0638"
