  Base de dados BPS,,,,,,,,,,,,,,,,,,,,,
Dados do Item,,,,Dados da Compra,,,,,Dados do Fabricante Fornecedor,,,,Dados da Instituição,,,,Valores,,,,
Código BR,Descrição CATMAT, Unidade de Fornecimento ,Genérico,Registro Anvisa, Data Compra ,Modalidade da Compra, Data Inserção,Tipo Compra,Fabricante,CNPJ Fabricante,Fornecedor,CNPJ Fornecedor,Nome Instituição,CNPJ Instituição,Município Instituição,UF,Qtd Itens Comprados,Preço Unitário,CMED - Preço Regulado,Competência CMED, Média Ponderada 
BR0267691,"METFORMINA CLORIDRATO, DOSAGEM:850 MG",COMPRIMIDO - GENÉRICO,Sim,1008902750012,11/10/2021,Pregão,22/11/2021,A,MERCK S/A ,33.069.212/0001-84,LOGER DISTRIBUIDORA DE MEDICAMENTOS E MATERIAIS HOSPITALARES EIRELI ,27.600.270/0001-90,FUNDO MUNICIPAL DE SAUDE,11.594.727/0001-60,MAR VERMELHO,AL,"96000,0000","0,0008","0,4060",02/2022,"0,0717"
BR0267690,"METFORMINA CLORIDRATO, DOSAGEM:500 MG",COMPRIMIDO - GENÉRICO,Sim,1008902750020,11/10/2021,Pregão,22/11/2021,A,MERCK S/A ,33.069.212/0001-84,LOGER DISTRIBUIDORA DE MEDICAMENTOS E MATERIAIS HOSPITALARES EIRELI ,27.600.270/0001-90,FUNDO MUNICIPAL DE SAUDE,11.594.727/0001-60,MAR VERMELHO,AL,"36000,0000","0,0008","0,3600",02/2022,"0,0828"
BR0267690,"METFORMINA CLORIDRATO, DOSAGEM:500 MG",COMPRIMIDO,Não,1008901930025,15/06/2021,Pregão,17/11/2021,A,MERCK S/A ,33.069.212/0001-84,ANTUNES & BOEING LTDA,30.547.487/0001-98,MUNICIPIO DE NOVA AMERICA DA COLINA,75.827.204/0001-08,NOVA AMERICA DA COLINA,PR,"1200,0000","0,0115","0,5833",02/2022,"0,0828"
BR0267690,"METFORMINA CLORIDRATO, DOSAGEM:500 MG",COMPRIMIDO - GENÉRICO,Sim,1037005060073,19/03/2021,Pregão,17/11/2021,A,LABORATORIO TEUTO BRASILEIRO S/A ,17.159.229/0001-76,MEDCOM SAUDE DENTALMEDICA COMERCIO E DISTRIBUIDORA DE MEDICAMENTOS E MATERIAIS HOSPITALARES LTDA,37.730.050/0001-34,FUNDO MUNICIPAL DE SAUDE DE VITORIA DO XINGU,11.190.812/0001-63,VITORIA DO XINGU,PA,"45000,0000","0,0300","0,3600",02/2022,"0,0828"
BR0267691,"METFORMINA CLORIDRATO, DOSAGEM:850 MG",COMPRIMIDO - GENÉRICO,Sim,1008902750012,04/12/2020,Pregão,20/09/2021,A,MERCK S/A ,33.069.212/0001-84,ARMAZEM DOS MEDICAMENTOS EIRELI ,27.718.661/0001-03,FUNDO MUNICIPAL DE SAUDE DE CHAPADAO DO SUL-MS,14.004.655/0001-42,CHAPADAO DO SUL,MS,"300000,0000","0,0500","0,4060",02/2022,"0,0717"
BR0267691,"METFORMINA CLORIDRATO, DOSAGEM:850 MG",COMPRIMIDO - GENÉRICO,Sim,1008902750055,12/12/2020,Pregão,30/06/2021,A,MERCK S/A ,33.069.212/0001-84,COMERCIAL CIRURGICA RIOCLARENSE LTDA ,67.729.178/0004-91,SECRETARIA DE ESTADO DA SAUDE,46.374.500/0262-31,SAO PAULO,SP,"95184770,0000","0,0570","0,3775",02/2022,"0,0717"
BR0267691,"METFORMINA CLORIDRATO, DOSAGEM:850 MG",COMPRIMIDO - GENÉRICO,Sim,1008902750055,02/12/2020,Pregão,25/06/2021,A,MERCK S/A ,33.069.212/0001-84,INOVAMED COMERCIO DE MEDICAMENTOS LTDA - EPP ,12.889.035/0001-02,FUNDO MUNICIPAL DE SAUDE DE JARAGUA DO SUL,14.007.211/0001-60,JARAGUA DO SUL,SC,"1530000,0000","0,0570","0,3775",02/2022,"0,0717"
BR0267691,"METFORMINA CLORIDRATO, DOSAGEM:850 MG",COMPRIMIDO - GENÉRICO,Sim,1121302320037,21/04/2021,Pregão,29/12/2021,A,BIOSINTÉTICA FARMACEUTICA LTDA,53.162.095/0001-06,ODONTOMEDICA COMERCIO E REPRESENTACAO DE MEDICAMENTOS LTDA   ,12.395.255/0001-80,FUNDO MUNICIPAL DE SAUDE DE CALCADO,11.384.276/0001-37,CALCADO,PE,"180000,0000","0,0590","0,3703",02/2022,"0,0717"
BR0267690,"METFORMINA CLORIDRATO, DOSAGEM:500 MG",COMPRIMIDO - GENÉRICO,Sim,1008902750039,29/10/2020,Pregão,10/12/2020,A,MERCK S/A ,33.069.212/0001-84,PARTNER FARMA DISTRIBUIDORA DE MEDICAMENTOS - EIRELI ,28.123.417/0001-60,MUNICIPIO DE PEDERNEIRAS,46.189.718/0001-79,PEDERNEIRAS,SP,"500000,0000","0,0600","0,3388",02/2022,"0,0828"
BR0267690,"METFORMINA CLORIDRATO, DOSAGEM:500 MG",COMPRIMIDO - GENÉRICO,Sim,1008902750039,14/12/2020,Pregão,15/06/2021,A,MERCK S/A ,33.069.212/0001-84,SINERGIA FARMACEUTICA LTDA,35.186.943/0001-35,FUNDO MUNICIPAL DE SAUDE DE GUACUI,11.423.181/0001-85,GUACUI,ES,"250000,0000","0,0600","0,3347",02/2022,"0,0828"
BR0267691,"METFORMINA CLORIDRATO, DOSAGEM:850 MG",COMPRIMIDO - GENÉRICO,Sim,1008902750012,08/12/2020,Pregão,18/09/2021,A,MERCK S/A ,33.069.212/0001-84,INOVAMED COMERCIO DE MEDICAMENTOS LTDA - EPP ,12.889.035/0001-02,MUNICIPIO DE TAMARANA,01.613.167/0001-90,TAMARANA,PR,"60000,0000","0,0600","0,4060",02/2022,"0,0717"
BR0267691,"METFORMINA CLORIDRATO, DOSAGEM:850 MG",COMPRIMIDO - GENÉRICO,Sim,1008902750055,23/04/2021,Pregão,24/04/2021,A,MERCK S/A ,33.069.212/0001-84,CIRURGICA OLIMPIO - EIRELI - EPP ,01.140.868/0001-50,MUNICIPIO DE SANTOS,58.200.015/0001-83,SANTOS,SP,"6000000,0000","0,0600","0,3775",02/2022,"0,0717"
BR0267691,"METFORMINA CLORIDRATO, DOSAGEM:850 MG",COMPRIMIDO - GENÉRICO,Sim,1008902750012,19/04/2021,Pregão,20/05/2021,A,MERCK S/A ,33.069.212/0001-84,DROGAFONTE LTDA,08.778.201/0001-26,FUNDO MUNICIPAL DE SAUDE,11.248.285/0001-09,IPOJUCA,PE,"1267318,0000","0,0600","0,4060",02/2022,"0,0717"
BR0267691,"METFORMINA CLORIDRATO, DOSAGEM:850 MG",COMPRIMIDO,Não,1004704220057,19/03/2021,Pregão,17/11/2021,A,SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA. ,61.286.647/0001-16,MEDCOM SAUDE DENTALMEDICA COMERCIO E DISTRIBUIDORA DE MEDICAMENTOS E MATERIAIS HOSPITALARES LTDA,37.730.050/0001-34,FUNDO MUNICIPAL DE SAUDE DE VITORIA DO XINGU,11.190.812/0001-63,VITORIA DO XINGU,PA,"75000,0000","0,0600","0,0000",N/A,"0,0717"
