"","Codigo","Tipo de Adquisicion","Estado","Nombre Organismo","Region Unidad","Codigo Moneda","Fecha Creacion","Fecha Publicacion","Fecha Adjudicacion","Fuente Financiamiento","Descripcion linea Adquisicion","Descripcion Proveedor","Unidad Medida","Nombre Proveedor","Estado Oferta","Cantidad Ofertada","Moneda de la Oferta","Monto Unitario Oferta","Valor Total Ofertado","Cantidad Adjudicada","Monto Linea Adjudica","Fecha Envio Oferta","Oferta seleccionada","CHL-USD","Monto Unitario Oferta USD","Monto Linea Adjudica USD","Valor Total Ofertado USD","Tipo de Institucion"
"1","8636737","Licitación Pública Entre 100 y 1000 UTM (LE)","8","I MUNICIPALIDAD DE CHIGUAYANTE","Región del Biobío","CLP","2020-01-07","2020-01-10","2020-01-24","PRESUPUESTO FARMACIA MUNICIPAL CHIGUAYANTE 2020","CANAGLIFLOZINA + METFORMINA 150/1000 MG 
","COD. 416267; VOKANAMET 150/1000 COMPRIMIDOS RECUBIERTOS; P.A. CANAGLIFOZINA / METFORMINA; N° REG.ISPF-21733/15; FECHA DE VENCIMIENTO:OCTUBRE 2020; PRESENTACIÓN: CAJA X 60 COMPRIMIDOS RECUBIERTOS; SE OFERTA POR: COMPRIMIDO; VENTA POR CAJA COMPLETA; SE ADJU","Comprimido","2 Janssen-Cilag Chile","Aceptada","1200","Peso Chileno","430","516000","1200","516000","2020-01-15","Seleccionada",773.730434782609,0.555749109340406,666.898931208487,666.898931208487,"Municipalidad"
"2","8635429","Licitación Pública Menor a 100 UTM (L1)","8","I MUNICIPALIDAD DE CONSTITUCION","Región del Maule","CLP","2020-01-03","2020-01-16","2020-02-14",NA,"FORXIGA 10MG","DPGL0010COMP. FORXIGA 10MG X 28 COMP.REC.. ASTRA ZENECA. DAPAGLIFOZINA. REG ISP F-20505 - VTO 12-2020 - LOTE LB0155
Entrega en 2 días. Se adjunta ISP, CANJE y anexos técnicos. Validez de la oferta 60 días. Sin costo por flete. Pedido mínimo 50.000.","Caja","ETHON PHARMACEUTICALS SPA.","Aceptada","10","Peso Chileno","29103","291030","0","0","2020-01-21","No Seleccionada",797.137,36.5094080440376,0,365.094080440376,"Municipalidad"
"3","8635442","Licitación Pública Mayor a 5000 (LR)","8","I MUNICIPALIDAD DE MAIPU","Región Metropolitana de Santiago","CLP","2020-01-03","2020-01-03","2020-06-25","MUNICIPAL","Dapagliflozina 10 mg","DPGL0010COMP. FORXIGA 10MG X 28 COMP.REC.. ASTRA ZENECA. DAPAGLIFOZINA. REG ISP F-20505 -  - 
Vto Superior a 18 meses
Vigencia de la Oferta 90 días","Unidad","ETHON PHARMACEUTICALS SPA.","Rechazada","121","Peso Chileno","29104","3521584","0","0","2020-01-31","No Seleccionada",795.597954545455,36.5812906301749,0,4426.33616625117,"Municipalidad"
"4","8635652","Licitación Pública Entre 100 y 1000 UTM (LE)","15","I MUNICIPALIDAD DE VICUNA","Región de Coquimbo","CLP","2020-01-03","2020-01-17","2020-02-14","RECURSOS MUNICIPALES","DAPAGLIFOZINA, 10 MG TABLETA RECUBIERTA.","DPGL0010COMP. FORXIGA 10MG X 28 COMP.REC.. ASTRA ZENECA. DAPAGLIFOZINA. REG ISP F-20505 - VTO 12-2020 - LOTE LB0155
PRECIO POR COMPRIMIDO
Entrega en 2 días. Se adjunta ISP, CANJE y anexos técnicos.  Sin costo por flete. Pedido mínimo 50.000.","Unidad","ETHON PHARMACEUTICALS SPA.","Aceptada","400","Peso Chileno","1039","415600","0","0","2020-01-22","No Seleccionada",797.137,1.30341459498179,0,521.365837992716,"Municipalidad"
"5","8636502","Licitación Pública Entre 100 y 1000 UTM (LE)","8","Ilustre Municipalidad de Penco","Región del Biobío","CLP","2020-01-07","2020-01-09","2020-02-20",NA,"CAJA DE 28 COMPRIMIDOS FORXIGA 10 MG, O SIMILAR COMPOSICIÓN, DE ACUERDO A BASES ADJUNTA","DPGL0010COMP. FORXIGA 10MG X 28 COMP.REC.. ASTRA ZENECA. DAPAGLIFOZINA. REG ISP F-20505 - VTO 12-2020 - LOTE LB0155
Entrega en 1 día. Se adjunta ISP, CANJE y anexos técnicos. Sin costo por flete. Pedido mínimo 50.000. Valor por presentación.","Unidad","ETHON PHARMACEUTICALS SPA.","Aceptada","1","Peso Chileno","29103","29103","0","0","2020-01-20","No Seleccionada",797.137,36.5094080440376,0,36.5094080440376,"Municipalidad"
"6","8637560","Licitación Pública Entre 100 y 1000 UTM (LE)","8","I MUNICIPALIDAD DE CASABLANCA","Región de Valparaíso","CLP","2020-01-08","2020-01-10","2020-01-31",NA,"dapaglifozina 10 mg caja por 28 comprimidos recubiertos. forxiga o similar.","DPGL0010COMP. FORXIGA 10MG X 28 COMP.REC.. ASTRA ZENECA. DAPAGLIFOZINA. REG ISP F-20505 - VTO 12-2020 - LOTE LB0155
Entrega en 2 días. Se adjunta ISP, CANJE y anexos técnicos. Validez de la oferta 60 días. Sin costo por flete. Pedido mínimo 50.000.","Caja","ETHON PHARMACEUTICALS SPA.","Aceptada","40","Peso Chileno","29103","1164120","0","0","2020-01-15","No Seleccionada",773.730434782609,37.6138751840322,0,1504.55500736129,"Municipalidad"
"7","8641915","Licitación Pública Entre 100 y 1000 UTM (LE)","8","SERVICIO DE SALUD ANTOFAGASTA HOSPITAL M","Región de Antofagasta","CLP","2020-01-16","2020-01-16","2020-02-24",NA,"DAPAGLIFOZINA 10 MG COMP.","DPGL0010COMP. FORXIGA 10MG X 28 COMP.REC.. ASTRA ZENECA. DAPAGLIFOZINA. REG ISP F-20505 - VTO SUPERIOR A 12 MESES.
Entrega en 1 día. Se adjunta ISP, CANJE y anexos técnicos. Validez de la oferta 60 días. Sin costo por flete. Pedido mínimo 50.000.","Unidad","ETHON PHARMACEUTICALS SPA.","Aceptada","6400","Peso Chileno","1039.4","6652160","0","0","2020-01-23","No Seleccionada",797.137,1.30391639078352,0,8345.06490101451,"Servicio de Salud"
"8","8642560","Licitación Pública Entre 100 y 1000 UTM (LE)","8","I MUNICIPALIDAD DE LAS CABRAS","Región del Libertador General Bernardo O´Higgins","CLP","2020-01-17","2020-01-21","2020-03-02",NA,"FORXIGA 10 MG	
Envase de 28 comprimidos","DPGL0010COMP. FORXIGA 10MG X 28 COMP.REC.. ASTRA ZENECA. DAPAGLIFOZINA. REG ISP F-20505 -  - 
Vencimiento superior a 12 meses
Se adjunta ISP, anexos
Entrega en 2 días
Vigencia 60 días","Unidad","ETHON PHARMACEUTICALS SPA.","Aceptada","5","Peso Chileno","29104","145520","0","0","2020-01-28","No Seleccionada",840.868636363636,34.6118272716904,0,173.059136358452,"Municipalidad"
"9","8643687","Licitación Pública Entre 100 y 1000 UTM (LE)","8","I MUNICIPALIDAD DE VILLARRICA","Región de la Araucanía","CLP","2020-01-20","2020-01-20","2020-05-14","Departamento de Salud Municipal","Forxiga 10 mg x 28 comp.","DPGL0010COMP. FORXIGA 10MG X 28 COMP.REC.. ASTRA ZENECA. DAPAGLIFOZINA. REG ISP F-20505 - VTO 12-2020 - LOTE LB0155
Entrega en 1 DÍA. Se adjunta ISP, CANJE y anexos técnicos.  Sin costo por flete. Pedido mínimo 50.000.

","Unidad","ETHON PHARMACEUTICALS SPA.","Aceptada","6","Peso Chileno","29103","174618","0","0","2020-01-23","No Seleccionada",820.555238095238,35.4674477096229,0,212.804686257737,"Municipalidad"
"10","8644786","Licitación Pública Entre 100 y 1000 UTM (LE)","8","I MUNICIPALIDAD DE PADRE HURTADO","Región Metropolitana de Santiago","CLP","2020-01-22","2020-01-28","2020-03-03",NA,"Dapagliflozina 10 mg. Envase con 28 comprimidos. Fecha de vencimiento no menor a 8 meses desde la entrega.","DPGL0010COMP. FORXIGA 10MG X 28 COMP.REC.. ASTRA ZENECA. DAPAGLIFOZINA. REG ISP F-20505 - VTO SUPERIOR A 12 MESES.
Entrega en 1 día. Se adjunta ISP, CANJE y anexos técnicos. Validez de la oferta 90 días. Sin costo por flete. Pedido mínimo 50.000.","Caja","ETHON PHARMACEUTICALS SPA.","Aceptada","20","Peso Chileno","29104","582080","0","0","2020-01-30","No Seleccionada",840.868636363636,34.6118272716904,0,692.236545433808,"Municipalidad"
